"","o","nn","NUMB_C","NUMB_CN","NUMB_FR","NUMB_CM","NUMB_PV","NUMB_RC","DENS_CCN","DENS_CNFR","DENS_FRCM","DENS_CMPV","DENS_PVRC","Q_VAR","RCC_VAR","DENS_FRCM_m","DIFF_COST","Total cost of each product","CCB"
"C279",80,80,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.777777777777778,0,0.978432688817755,0.244608172204439
"C180",81,81,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,94.0563534830193,1.14702870101243
"C280",81,81,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,5.94364651698074,0.312823500893723
"C181",82,82,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,45.9135121178071,0.740540518029147
"C281",82,82,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,54.0864878821929,1.38683302262033
"C182",83,83,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.777777777777778,0,4.24755769022099,0.353963140851749
"C282",83,83,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.777777777777778,0,95.752442309779,1.07587013831212
"C183",84,84,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,28.7975280763574,0.719938201908934
"C283",84,84,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,71.2024719236427,1.1672536380925
"C184",85,85,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,20.2810168381408,0.413898302819201
"C284",85,85,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,79.7189831618592,1.53305736849729
"C185",86,86,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,97.7042028332039,0.986911139729332
"C285",86,86,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,2.29579716679611,1.14789858339805
"C186",87,87,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,38.1874165106824,0.626023221486596
"C286",87,87,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,61.8125834893176,1.54531458723294
"C187",88,88,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,13.2426822182475,0.401293400552955
"C287",88,88,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,86.7573177817525,1.27584290855518
"C188",89,89,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,16.1517568244653,0.316701114205202
"C288",89,89,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,83.8482431755347,1.67696486351069
"C189",90,90,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,43.8470884214671,1.32869964913537
"C289",90,90,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,56.1529115785329,0.825778111449013
"C190",91,91,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,78.0838196874677,0.952241703505704
"C290",91,91,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,21.9161803125323,1.1534831743438
"C191",92,92,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,62.7717104985786,0.859886445186008
"C291",92,92,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,37.2282895014214,1.32958176790791
"C192",93,93,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,74.8632347303273,3.11930144709697
"C292",93,93,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,25.1367652696727,0.326451497008736
"C193",94,94,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,66.9017320739432,1.21639512861715
"C293",94,94,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,33.0982679260568,0.719527563609932
