"","o","nn","PRODUCT","CC"
"C151",52,52,1,80.9706015059596
"C251",52,52,2,19.0293984940404
"C152",53,53,1,82.0107742913041
"C252",53,53,2,17.9892257086959
"C153",54,54,1,87.48284097713
"C253",54,54,2,12.51715902287
"C154",55,55,1,8.41450273250055
"C254",55,55,2,91.5854972674995
"C155",56,56,1,77.8497486812039
"C255",56,56,2,22.1502513187961
"C156",57,57,1,88.1906728574509
"C256",57,57,2,11.8093271425491
"C157",58,58,1,48.2180759090973
"C257",58,58,2,51.7819240909027
"C158",59,59,1,17.3437512732842
"C258",59,59,2,82.6562487267158
"C159",60,60,1,91.5077860291541
"C259",60,60,2,8.49221397084589
"C160",61,61,1,11.9344662952499
"C260",61,61,2,88.0655337047501
"C161",62,62,1,8.07766888816687
"C261",62,62,2,91.9223311118331
"C162",63,63,1,47.8971134009437
"C262",63,63,2,52.1028865990563
"C163",64,64,1,5.4704211040071
"C263",64,64,2,94.5295788959929
"C164",65,65,1,74.4829060358086
"C264",65,65,2,25.5170939641914
"C165",66,66,1,74.2574257425743
"C265",66,66,2,25.7425742574257
"C166",67,67,1,30.079989024834
"C266",67,67,2,69.920010975166
"C167",68,68,1,65.4613257421674
"C267",68,68,2,34.5386742578326
"C168",69,69,1,98.3329953024106
"C268",69,69,2,1.66700469758942
"C169",70,70,1,10.6779590369494
"C269",70,70,2,89.3220409630506
"C170",71,71,1,25.7425742574257
"C270",71,71,2,74.2574257425743
"C171",72,72,1,97.278221196035
"C271",72,72,2,2.72177880396496
"C172",73,73,1,24.9201696323947
"C272",73,73,2,75.0798303676053
"C173",74,74,1,88.6589581971437
"C273",74,74,2,11.3410418028563
"C174",75,75,1,44.6565346562531
"C274",75,75,2,55.3434653437469
"C175",76,76,1,28.0462319749549
"C275",76,76,2,71.9537680250451
"C176",77,77,1,56.1784501514614
"C276",77,77,2,43.8215498485386
"C177",78,78,1,2.11410277563474
"C277",78,78,2,97.8858972243653
"C178",79,79,1,14.3839950312253
"C278",79,79,2,85.6160049687747
"C179",80,80,1,99.0215673111822
"C279",80,80,2,0.978432688817755
"C180",81,81,1,94.0563534830193
"C280",81,81,2,5.94364651698074
"C181",82,82,1,45.9135121178071
"C281",82,82,2,54.0864878821929
"C182",83,83,1,4.24755769022099
"C282",83,83,2,95.752442309779
"C183",84,84,1,28.7975280763574
"C283",84,84,2,71.2024719236427
"C184",85,85,1,20.2810168381408
"C284",85,85,2,79.7189831618592
"C185",86,86,1,97.7042028332039
"C285",86,86,2,2.29579716679611
"C186",87,87,1,38.1874165106824
"C286",87,87,2,61.8125834893176
"C187",88,88,1,13.2426822182475
"C287",88,88,2,86.7573177817525
"C188",89,89,1,16.1517568244653
"C288",89,89,2,83.8482431755347
"C189",90,90,1,43.8470884214671
"C289",90,90,2,56.1529115785329
"C190",91,91,1,78.0838196874677
"C290",91,91,2,21.9161803125323
"C191",92,92,1,62.7717104985786
"C291",92,92,2,37.2282895014214
"C192",93,93,1,74.8632347303273
"C292",93,93,2,25.1367652696727
"C193",94,94,1,66.9017320739432
"C293",94,94,2,33.0982679260568
"C194",95,95,1,5.93544913902563
"C294",95,95,2,94.0645508609744
"C195",96,96,1,18.7809722543177
"C295",96,96,2,81.2190277456823
"C196",97,97,1,84.1584158415842
"C296",97,97,2,15.8415841584158
"C197",98,98,1,29.8345827041865
"C297",98,98,2,70.1654172958135
"C198",99,99,1,39.1572671040346
"C298",99,99,2,60.8427328959654
"C199",100,100,1,23.5394652404348
"C299",100,100,2,76.4605347595652
