"","nn","Customer","DEMAND","PVC","CMC","FRC","CNC","CCx","CC","INDEP","DENS_MEASURED","INFOCONT_A_FRCM"
"371",186,1,1,50,36,68,50,50,50,"decoupled",0.75,0.5
"372",186,2,1,50,65,33,50,50,50,"decoupled",0.75,0.5
"373",187,1,1,50,46,78,50,50,50,"decoupled",0.75,0.5
"374",187,2,1,50,55,23,50,50,50,"decoupled",0.75,0.5
"375",188,1,1,50,46,55,50,50,50,"decoupled",0.5,0
"376",188,2,1,50,55,46,50,50,50,"decoupled",0.5,0
"377",189,1,1,50,74,87,50,50,50,"decoupled",0.75,0.5
"378",189,2,1,50,27,14,50,50,50,"decoupled",0.75,0.5
"379",190,1,1,50,40,40,50,50,50,"decoupled",0.5,0
"380",190,2,1,50,60,60,50,50,50,"decoupled",0.5,0
"381",191,1,1,50,11,11,50,50,50,"decoupled",0.5,0
"382",191,2,1,50,90,90,50,50,50,"decoupled",0.5,0
