"","o","nn","NUMB_C","NUMB_CN","NUMB_FR","NUMB_CM","NUMB_PV","NUMB_RC","DENS_CCN","DENS_CNFR","DENS_FRCM","DENS_CMPV","DENS_PVRC","Q_VAR","RCC_VAR","DENS_FRCM_m","DIFF_COST"
"91",91,91,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"92",92,92,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"93",93,93,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"94",94,94,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"95",95,95,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.518518518518518,0
"96",96,96,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
"97",97,97,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"98",98,98,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.592592592592593,0
"99",99,99,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0
"100",100,100,10,6,3,9,3,3,0.4,0.4,0.4,0.4,0.4,-1,-1,0.481481481481481,0
