Spalte1;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte7;Spalte8;Spalte9;Spalte10;Spalte11;Spalte12;Spalte13;Spalte14;Spalte15;Spalte16;Spalte17;
;nn;Customer;DEMAND;PVC;CMC;FRC;CNC;CCx;CC;;PVC/DEMAND;CMC/DEMAND;FRC/DEMAND;CNC/DEMAND;CCx/DEMAND;CC/DEMAND;
87;44;1;1;31;19;16;31;16;11;; 31 ; 19 ; 16 ; 31 ; 16 ; 11 ;
88;44;2;2;18;12;28;20;35;40;; 9 ; 6 ; 14 ; 10 ; 18 ; 20 ;
89;45;1;1;19;8;13;38;44;33;; 19 ; 8 ; 13 ; 38 ; 44 ; 33 ;
90;45;2;2;10;38;17;13;7;18;; 5 ; 19 ; 9 ; 7 ; 4 ; 9 ;
91;46;1;1;22;25;33;25;25;16;; 22 ; 25 ; 33 ; 25 ; 25 ; 16 ;
92;46;2;2;15;18;9;26;26;35;; 8 ; 9 ; 5 ; 13 ; 13 ; 18 ;
93;47;1;2;25;10;36;15;8;26;; 13 ; 5 ; 18 ; 8 ; 4 ; 13 ;
94;47;2;1;23;30;5;36;43;25;; 23 ; 30 ; 5 ; 36 ; 43 ; 25 ;
95;48;1;1;36;22;22;22;22;13;; 36 ; 22 ; 22 ; 22 ; 22 ; 13 ;
96;48;2;2;3;8;12;29;29;38;; 2 ; 4 ; 6 ; 15 ; 15 ; 19 ;
97;49;1;2;21;17;33;42;5;16;; 11 ; 9 ; 17 ; 21 ; 3 ; 8 ;
98;49;2;1;15;24;9;9;46;35;; 15 ; 24 ; 9 ; 9 ; 46 ; 35 ;
99;50;1;2;13;7;11;24;12;24;; 7 ; 4 ; 6 ; 12 ; 6 ; 12 ;
100;50;2;1;11;33;24;27;39;27;; 11 ; 33 ; 24 ; 27 ; 39 ; 27 ;
101;51;1;2;8;24;14;29;11;23;; 4 ; 12 ; 7 ; 15 ; 6 ; 12 ;
102;51;2;1;21;15;22;22;40;28;; 21 ; 15 ; 22 ; 22 ; 40 ; 28 ;
103;52;1;2;26;17;17;34;34;44;; 13 ; 9 ; 9 ; 17 ; 17 ; 22 ;
104;52;2;1;10;15;27;17;17;7;; 10 ; 15 ; 27 ; 17 ; 17 ; 7 ;
105;53;1;2;25;15;8;14;44;43;; 13 ; 8 ; 4 ; 7 ; 22 ; 22 ;
106;53;2;1;5;21;15;37;7;8;; 5 ; 21 ; 15 ; 37 ; 7 ; 8 ;
107;54;1;2;12;19;7;39;39;42;; 6 ; 10 ; 4 ; 20 ; 20 ; 21 ;
